what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469004484102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469004486243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004536877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004592198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004613397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004615780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004616239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004617887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004618459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004753746
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469004754987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004756476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004765902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004766732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004767352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004768952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004770042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004770782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004771232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004771532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004772102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004772512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004773172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004773582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004802517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004804687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004808801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1469004808821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004809031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004844331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004847362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004854048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1469004854062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004854255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004905991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004906781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004909665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004910918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469004911779
