what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469535646971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469535647431
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1469535648412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535652537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535652537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535652647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535652801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535654270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535664181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469535668227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535684637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535686368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469535689968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469535691022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535696390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535697404
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469535702505
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1469535705637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535709129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535709139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535709229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535709324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535710897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535720103
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469535721977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535736239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535780504
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469535782940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535785738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535788904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469535790659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535809770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535820347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535822134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535824507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535824877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535825768
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469535826458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535827812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535852143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535853124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535853892
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469535855556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535856286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535857519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535860806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535902875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535904114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535904988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535909861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535912431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535913844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535915974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535917429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535920556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535921556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535946090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469535949749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535955863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469535956370
